,index,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Complaint ID
554,79274,2014-11-14,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,GA,30093,,,Web,2014-11-14,Closed with explanation,Yes,1116960
555,86487,2014-08-25,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,GA,30294,,,Web,2014-08-25,Closed with explanation,Yes,999075
556,70369,2015-09-11,Credit reporting,,Incorrect information on credit report,Account status,"I have filed several disputes with the all three of the CRA 's and have also disputed directly with XXXX in SD in regards to XXXX credit lines with them. This account has been re-aged and XXXX XXXX reports that the information remains correct and verified. I do not appreciate this practice and it can be viewed as unethical and perhaps this is not the XXXX time this has occurred.. All XXXX credit bureaus report a different age of these accounts. 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",MI,491XX,,Consent provided,Web,2015-09-14,Closed with non-monetary relief,Yes,1561506
557,85394,2015-12-26,Credit reporting,,Incorrect information on credit report,Account terms,"The credit limit and and credit balance is being reported incorrectly from all XXXX credit bureaus for my XXXX account. 
",Company chooses not to provide a public response,Experian,MD,209XX,,Consent provided,Web,2015-12-30,Closed with non-monetary relief,Yes,1717155
558,84932,2014-11-20,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Equifax,FL,33462,,,Web,2014-11-26,Closed with explanation,Yes,1132590
559,46817,2015-10-22,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",TX,76710,Servicemember,Consent not provided,Web,2015-10-22,Closed with explanation,Yes,1619561
560,85229,2014-03-06,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,CA,92562,,,Web,2014-03-06,Closed with non-monetary relief,Yes,747235
561,108729,2013-09-01,Credit reporting,,Credit monitoring or identity protection,Billing dispute,,,"HCFS Health Care Financial Services, Inc.",TN,37601,,,Web,2013-09-03,Closed with explanation,Yes,511509
562,52277,2016-02-02,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,CA,94583,,,Referral,2016-02-02,Closed with non-monetary relief,Yes,1768442
563,90758,2014-03-05,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,"TransUnion Intermediate Holdings, Inc.",TX,76028,,,Postal mail,2014-03-21,Closed with explanation,Yes,744580
564,41872,2014-03-03,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,NV,89136,,,Postal mail,2014-03-13,Closed with non-monetary relief,Yes,740976
565,51324,2014-11-07,Credit reporting,,Credit monitoring or identity protection,Account terms and changes,,,Equifax,HI,96797,,,Referral,2014-12-01,Closed with explanation,Yes,1107158
566,69690,2015-08-08,Credit reporting,,Incorrect information on credit report,Account status,"There is a listing for a {$300.00} debt turned over to a collection agency ( XXXX ) but the debt was paid in full directly to XXXX. 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",NY,110XX,,Consent provided,Web,2015-08-08,Closed with explanation,Yes,1509722
567,27597,2014-12-08,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Experian,FL,33415,,,Postal mail,2014-12-29,Closed with explanation,Yes,1146952
568,19514,2016-01-23,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",NV,89014,,Consent not provided,Web,2016-01-23,Closed with non-monetary relief,Yes,1755137
569,40701,2015-07-17,Credit reporting,,Credit monitoring or identity protection,Account terms and changes,"Hi, my name is XXXX XXXX ( XXXXXXXXXXXX ) This is the problem I have : On or about XX/XX/XXXX by XXXX XXXX XXXX a collection is reported on behalf Public storage ( XXXX XXXX, XXXX ). I disputed this as it is incorrect! I contacted XXXX XXXX XXXX and they filed to remove this on or about XXXX before. As of to day I do not have XXXX XXXX XXXX is not on my record, "" ONLY!!! '' my score have not re stated the XXXX points! It was before XXXX ( XX/XX/XXXX after the XXXX XXXX XXXX collection report information was lowered to XXXX ( XX/XX/XXXX ) I Know that XXXX have a math to calculate the Credit Score, my problem is if my score changed do to! that negative input, why the same "" math '' ( FICO score algorithm ) have not re calculated it? as now I do not have the "" wrong '' input!? 
Can I have my missing score reinstated please. 
Thank you, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXXTEL : XXXX XXXX 
",Company chooses not to provide a public response,Experian,FL,330XX,,Consent provided,Web,2015-07-17,Closed with explanation,Yes,1474399
570,9584,2015-11-19,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,TX,75078,,Consent not provided,Web,2015-11-19,Closed with explanation,Yes,1664146
571,32974,2014-04-21,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CT,06517,,,Postal mail,2014-05-05,Closed with non-monetary relief,Yes,818234
572,108321,2016-04-20,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CA,94513,,,Postal mail,2016-04-25,Closed with explanation,Yes,1888641
573,28992,2015-04-24,Credit reporting,,Incorrect information on credit report,Public record,"This issue is in reference to a public record for a tax lien that was released in XXXX. The West Virginia XXXX XXXX office failed to release the lien at the time of settlement. This was not completed until XXXX. The state office stated that it was not possible to retroactively change the release date in their computer systems. Instead, they noted the official court document with the correct date and provided me with a copy. 

I submitted disputes with the XXXX primary credit reporting agencies. XXXX of them accepted the updated court documents and immediately changed the entries. In XXXX ( XXXX years after the lien ), the entries dropped off as they should. 

Equifax refuses to change the release date and still report it as XXXX. This means that the record will remain on my credit report until XXXX. 

Even worse, the public record appears on their report in XXXX separate entries. There is XXXX using the court booking number ( beginning with XXXX ), the other using the state lien file number ( beginning with XXXX ). Everything is the same about these XXXX entries except for those XXXX numbers. The lien dollar amount, the date filed, the state it was filed from, the XXXX release date, the contact information for the state office are identical. 

Multiple disputes have been opened over the last two years. For all of them I either emailed, faxed, or physically mailed the updated court document with contact information for the Tax Compliance department. Several Equifax CSRs verbally confirmed that they see the correction on the document. They also confirmed that the public records are duplicated. Even so, the final investigation results dispute comes back with the same conclusion. 

I have followed Equifax process and received no resolution to my problem. At this point, I will have to seek legal counsel. 
",,Equifax,CO,802XX,,Consent provided,Web,2015-04-24,Closed with explanation,Yes,1345474
574,40394,2015-11-18,Credit reporting,,Incorrect information on credit report,Information is not mine,"XXXX BANK IS REPORTING ACCOUNT XXXX AS CHARGE OFF I NEVER OPEN AN ACCOUNT WITH THEM. I CONTACTED THE CREDIT BERAU AND THEY WONT DELETE IT 
",Company chooses not to provide a public response,Experian,IL,606XX,,Consent provided,Web,2015-11-18,Closed with explanation,Yes,1661307
575,19379,2016-04-28,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",OH,45229,,,Referral,2016-04-29,Closed with explanation,Yes,1900324
576,55472,2015-02-03,Credit reporting,,Incorrect information on credit report,Public record,,,"TransUnion Intermediate Holdings, Inc.",SC,29569,Older American,,Web,2015-02-03,Closed with non-monetary relief,Yes,1222456
577,84268,2014-11-11,Credit reporting,,Credit monitoring or identity protection,Billing dispute,,,Equifax,MA,02150,,,Web,2014-11-11,Closed with explanation,Yes,1111154
578,44774,2013-08-09,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NY,12603,,,Web,2013-08-08,Closed with non-monetary relief,Yes,485144
579,67409,2014-08-21,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,MD,20782,,,Web,2014-08-26,Closed with non-monetary relief,Yes,994186
580,34941,2016-02-11,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,FL,32218,,,Referral,2016-02-12,Closed with explanation,Yes,1783068
581,83871,2015-06-25,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"I have incorrect information on my credit report indicating that I missed payments on a home loan XX/XX/XXXX. I sent in a document from the loan company supporting my claim but the only change was they added a XX/XX/XXXX report as well. I received nothing from Experian. The incorrect information is still part of my credit report. 
",Company chooses not to provide a public response,Experian,AZ,851XX,Older American,Consent provided,Web,2015-06-25,Closed with explanation,Yes,1437349
582,16657,2015-08-01,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",KY,40214,,Consent not provided,Web,2015-08-07,Closed with explanation,Yes,1498043
583,14225,2016-05-26,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,NJ,07102,,,Referral,2016-05-27,Closed with non-monetary relief,Yes,1942422
584,59560,2014-05-09,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",NJ,07470,,,Web,2014-05-09,Closed with explanation,Yes,845521
585,44732,2016-05-06,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",PR,00728,,,Referral,2016-05-10,Closed with explanation,Yes,1913890
586,73685,2016-07-15,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"Equifax Credit bureau dispute dep. has been very negligence in regards my report, I have file a dispute several times for the same item-record and they have give me the final reports as : accurate that belong to me. 
I have been disputing a bankruptcy that it has been reporting since XXXX XXXX in credit report from XXXX and Equifax. 
XXXX did their investigation accurate and realize that this bankruptcy belongs to a different person altogether and they deleted the record from my credit report. 
But Equifax have NOT, I file a dispute several times and the investigation Department send me the final report as ; "" We have reviewed the bankruptcy information, XXXX the results are : We verify that this item belongs to you. Additional information has provided from the original source regarding this item. if you have additional questions about this item please contact : CA XXXX Bk CTXXXX, CA XXXX Phone : XXXX. 
Than I listen to them and Contact the Bankruptcy court. My finding is that this record was file by XXXX of my family members with similar name but big age difference, I am XXXX years old and the family member that file bankruptcy is XXXX years old and he has his SS # written in the forms very different than mine. in my last dispute I send equifax the copy of the bk file showing the similar name, same address, different SS #, I point out all this differences to them, the DOB big age difference, and they still send me the results describe above. I do not know what to do anymore please can you intercede for me I need my credit report accurate to continue with my life and good credit. Thank you",,Equifax,CA,925XX,,Consent provided,Web,2016-07-15,Closed with explanation,Yes,2015413
587,110325,2016-05-25,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,TX,76020,,Consent not provided,Web,2016-05-25,Closed with non-monetary relief,Yes,1941849
588,64474,2015-06-12,Credit reporting,,Incorrect information on credit report,Public record,"I am XXXX and cant get student finance because when i was XXXX credit was obtained in my name and at the family address dont know who by or who to ask and now i dont know what to do to help remove these. 
",,Equifax,,,,Consent provided,Web,2015-06-16,Closed with explanation,Yes,1418322
589,85488,2016-04-27,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,"All of the hard credit inquiries were verified in writing to Equifax as "" not factual '' and they submitted a letter to have them removed ( to Equifax ) or did not respond to the inquiry from Equifax ( which will also result in removal ). Even after this Equifax will not remove them. 
Equifax 's system is "" automated '' meaning no one is actually making inquiries to the validity of the records in disputed item! 
This is just criminal! 
",,Equifax,FL,328XX,,Consent provided,Web,2016-04-27,Closed with explanation,Yes,1899321
590,58648,2015-02-23,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,DC,20018,,,Web,2015-02-23,Closed with explanation,Yes,1252592
591,107725,2015-10-14,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,"I disputed a creditor that was listed on the TransUnion Credit Report. The XXXX XXXX Bank Account # XXXX was to be droppedfrom the credit report on XXXX. The date of delinquency was XXXX. 
I wrote to TransUnion three times and can not get this issued resolved. 
They continue to list this debt on my credit report which is effecting mycredit score. I submitted the documentation to TransUnion but theyrefuse to acknowledge the prof and to correct the issue. I would greatlyappreciate your help in resolving this matter. 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",AZ,850XX,,Consent provided,Web,2015-10-14,Closed with non-monetary relief,Yes,1606388
592,80771,2014-09-17,Credit reporting,,Incorrect information on credit report,Personal information,,,Experian,NY,10452,,,Web,2014-09-23,Closed with non-monetary relief,Yes,1031968
593,90271,2015-09-06,Credit reporting,,Incorrect information on credit report,Account terms,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",GA,30035,,Consent not provided,Web,2015-09-06,Closed with non-monetary relief,Yes,1554101
594,65106,2016-05-11,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CA,92220,,Consent not provided,Web,2016-05-11,Closed with explanation,Yes,1918759
595,110791,2016-01-13,Credit reporting,,Incorrect information on credit report,Account terms,"XXXX is listing wrong information on my credit report. XXXX sent me a "" statement balance. '' The statement balance is wrong because the payments that I have made have not reduced the balance on the loans. In addition, what XXXX is reporting to my credit report does not correlate with the statement balance I received from XXXX. The statement balance I received from XXXX which shows a discrepancy to what they are reporting to my credit report is attached to this complaint and is a flagrant violation of the Fair Credit Reporting Act. The statement balance I received from XXXX is at least {$13000.00} less than what XXXX is reporting on my credit report and is a flagrant violation of the Fair Credit Reporting Act. XXXX is illegally reporting a higher balance than what they provided as a statement balance to further damage my credit rating in flagrant violation of the Fair Credit Reporting Act. 
",,Equifax,CA,902XX,,Consent provided,Web,2016-01-13,Closed with explanation,Yes,1740815
596,23004,2015-02-02,Credit reporting,,Incorrect information on credit report,Personal information,,,Equifax,RI,02914,,,Web,2015-02-02,Closed with explanation,Yes,1221361
597,100895,2014-01-11,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,FL,32246,Servicemember,,Web,2014-01-16,Closed with non-monetary relief,Yes,664560
598,15734,2014-04-04,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,NY,11566,,,Web,2014-04-04,Closed with explanation,Yes,795125
599,103015,2014-09-29,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NC,27120,,,Postal mail,2014-10-16,Closed with explanation,Yes,1048644
600,3264,2012-11-25,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,MI,48026,,,Web,2012-11-27,Closed with explanation,Yes,196312
601,4651,2015-12-11,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,Experian,FL,33014,,,Postal mail,2015-12-16,Closed with explanation,Yes,1693107
602,101337,2015-09-17,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,SC,29412,,Consent not provided,Web,2015-09-17,Closed with explanation,Yes,1569407
603,101176,2013-02-18,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,GA,30040,,,Web,2013-02-19,Closed with explanation,Yes,318999
604,5048,2016-03-31,Credit reporting,,Incorrect information on credit report,Account status,"I have had multiple credit accounts closed on me, despite good history and payment terms as agreed because of false an or erroneous information on both my Equifax and XXXX credit agency reporting. The adverse or negative accounts I have reported to you and a few have been removed already but not reflection in my score. 

Meanwhile my credit score took a huge dive from XXXX plus to XXXX as a result of the "" false '' and.or "" inaccurate '' information. XXXX XXXX has closed every single credit card I had with them that had a XXXX balance despite not one being late for failure to pay. Credit lines I do have with XXXX were reduced to exactly what I owe. THIS IS WRONG! XXXX XXXX closed me today, again I had a XXXX balance and was in good standing with them. XXXX XXXX &. 
",,Equifax,NH,308XX,Servicemember,Consent provided,Web,2016-03-31,Closed with explanation,Yes,1859136
605,186,2014-11-02,Credit reporting,,Incorrect information on credit report,Account terms,,,"TransUnion Intermediate Holdings, Inc.",FL,34638,,,Web,2014-11-02,Closed with explanation,Yes,1097696
606,111269,2015-11-10,Credit reporting,,Incorrect information on credit report,Personal information,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",WA,98409,,Consent not provided,Web,2015-11-10,Closed with explanation,Yes,1648016
607,33933,2014-04-11,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,NY,14609,,,Web,2014-04-14,Closed with explanation,Yes,805517
608,106831,2014-06-03,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,IL,60108,,,Postal mail,2014-06-24,Closed with non-monetary relief,Yes,878724
609,66493,2013-12-04,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,RI,02891,,,Web,2013-12-04,Closed with explanation,Yes,621278
610,11094,2014-10-28,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,AL,36066,Servicemember,,Web,2014-11-03,Closed with explanation,Yes,1088807
611,105138,2016-03-30,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,KS,66210,,Consent not provided,Web,2016-03-30,Closed with explanation,Yes,1855733
612,57099,2012-11-07,Credit reporting,,Incorrect information on credit report,Account status,,,Citibank,AZ,85172,,,Web,2012-11-07,Closed with explanation,Yes,185273
613,77822,2014-01-15,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",CA,94513,,,Web,2014-01-15,Closed with explanation,Yes,669267
614,105244,2016-05-23,Credit reporting,,Incorrect information on credit report,Account terms,I paid this in full on XX/XX/XXXX the original debt was a credit card with XXXX then went to collections with XXXX XXXX XXXX. It is still under the collections tab of my credit report I have disputed it and have given proof it was paid but the credit bureau will not delete it.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",OH,440XX,,Consent provided,Web,2016-05-23,Closed with explanation,Yes,1936763
615,95924,2015-08-11,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,PA,16686,,Consent not provided,Web,2015-08-18,Closed with explanation,Yes,1512477
616,119094,2015-05-11,Credit reporting,,Incorrect information on credit report,Account status,"The XXXX credit bureaus ( XXXX, XXXX, and experian ) are improperly reporting my home line of credit under derogatory items. XXXX XXXX XXXX put it down as "" collateral depreciation '' and the credit bureaus now put it under derogatory items and it lowers my fico score so I ca n't refinance my other properties. Hence, discriminating against the millions of consumers who had their home values drop, negatively affecting their overall ability to borrower at the best rates. 
",Company chooses not to provide a public response,Experian,CA,949XX,,Consent provided,Web,2015-05-11,Closed with explanation,Yes,1368760
617,111536,2015-12-07,Credit reporting,,Incorrect information on credit report,Personal information,"Hi, There are some personal information in my credit report that are incorrect : For instance the "" Employer Reported and Date Reported '' XXXX XXXX - XX/XX/XXXXXXXX - XX/XX/XXXXMy employer 's name is XXXX and neither of the above misspelled names. 

Same with the information in "" Names Reported '' XXXX XXXX XXXXMy full name is XXXX XXXX and not XXXX XXXX as listed. 

Please help correct the above information on my credit profile. 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",MA,027XX,,Consent provided,Web,2015-12-07,Closed with explanation,Yes,1685280
618,99524,2014-07-29,Credit reporting,,Incorrect information on credit report,Public record,,,Factual Data,FL,32054,,,Web,2014-07-29,Closed with explanation,Yes,958428
619,74009,2016-02-10,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,CA,91011,,Consent not provided,Web,2016-02-12,Closed with explanation,Yes,1779656
620,104205,2016-06-03,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,FL,33625,,,Referral,2016-06-07,Closed with non-monetary relief,Yes,1953369
621,74150,2015-08-05,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"experian, Esperian is not allowing me to access my credit history in written form and on the internet. The internet sit does not function correctly and it is creating a catch twenty two situation of a endless loop around and around the system which will not operate correctly. 
I want my credit history sent to me by snail mail and on the internet on demand ; which I have a legal right to access by law.!!! 
",Company chooses not to provide a public response,Experian,SC,294XX,Older American,Consent provided,Web,2015-08-12,Closed with non-monetary relief,Yes,1502836
622,111288,2016-03-23,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,NY,11361,,Consent not provided,Web,2016-03-23,Closed with explanation,Yes,1845597
623,1561,2016-02-26,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"I 've tried multiple times to get my annual credit report from equifax. I 've gotten my reports from XXXX and XXXX without a hitch, yet every time I attempt to get my report from equifax at the verification step it has references to loans/cards that have nothing to do with me. Selecting none of the above for each one of these causes a failure in identity verification ( again, on equifax only, I had no issues whatsoever with XXXX or XXXX. ) and tells me to MAIL ( yeah, sending sensitive information through the mail is a really good and secure idea, there ... ) copies of payroll stubs, ect. This same thing happened last year ... If there was a case of identity theft I 'm sure it would have shown up on my other XXXX reports, which it did not. Why is such a group of incompetent ( and ignorant from what I 've gathered over the web, since I 'm not the only one experiencing this ) morons in charge of peoples credit like this? It seems the easiest course of action with them is to subscribe to their service to remedy this, which seems an awful lot like bate and switch, which last time I checked was still illegal ( not to mention immoral, not that today 's businesses readily practice moral or ethical means of operation ). They are screwing over MANY Americans on a daily basis with these practices and should be shut down until they can get their heads out of their butts and shape up, yet these are the people in charge of our credit. This makes as much sense as a chocolate teapot ... 
",,Equifax,IN,465XX,,Consent provided,Web,2016-02-26,Closed with non-monetary relief,Yes,1805904
624,48543,2015-02-09,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",CA,95404,,,Web,2015-02-09,Closed with non-monetary relief,Yes,1230988
625,60904,2015-07-28,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"XXXX XXXX XXXX my ex wife used my social security number and ruined my credit without my knowledge of her doing so. 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",GA,305XX,,Consent provided,Web,2015-07-28,Closed with explanation,Yes,1490649
626,53796,2015-10-14,Credit reporting,,Incorrect information on credit report,Public record,,Company chooses not to provide a public response,Experian,TN,37066,,Consent not provided,Web,2015-10-14,Closed with non-monetary relief,Yes,1606278
627,74069,2015-08-23,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,GA,30052,,Consent not provided,Web,2015-08-23,Closed with explanation,Yes,1531855
628,7179,2015-06-28,Credit reporting,,Incorrect information on credit report,Information is not mine,"The wrong phone numbers are listed. The only correct phone number is my cell phone number. There are XXXX social security numbers on my report that are not mine and I have only used my correct and original social security number. I never tried to obtain a car loan in 2014 and there are numerous other false statements. It is my belief that possibly my ex-wife of 20+ years and or my son or daughter, both of adult age may have used my personal information. I am trying very hard to get my credit in good standing and so far I am doing pretty good as I try to carry no credit card balance. Have always paid my rent on time. It is just demoralizing when you are trying so hard and see mistakes such as XXXX wrong social security numbers. XXXX Towns that I never lived in. That being XXXX, Ma. and XXXX, Ma. and possibly XXXX, Ma. 
",Company chooses not to provide a public response,Experian,MA,018XX,,Consent provided,Web,2015-06-28,Closed with non-monetary relief,Yes,1441671
629,62768,2016-07-06,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,"XX/XX/2016, inquiries were removed from my Transunion credit file and several days later they were placed back on my credit file. These inquiries were added back to my file and I was not notified in writing by Transunion. Per the Fair Credit Reporting Act ( FRCA ), Section 611 ( 5 ) ( b ) ( 2 ), that is against the law. I have tried for several days to speak with someone at Transunion, however I have not been able to speak to a person, but placed on hold several times for extended periods of time each time I call.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",AL,358XX,,Consent provided,Web,2016-07-06,Closed with explanation,Yes,1999726
630,85580,2015-02-26,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,SC,29572,,,Referral,2015-03-13,Closed with explanation,Yes,1259085
631,66552,2013-09-03,Credit reporting,,Incorrect information on credit report,Account status,,,Capital One,NC,27214,Older American,,Web,2013-09-04,Closed with non-monetary relief,Yes,513528
632,92367,2015-04-17,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",TX,77075,,Consent not provided,Web,2015-04-17,Closed with explanation,Yes,1334352
633,69457,2016-05-28,Credit reporting,,Incorrect information on credit report,Information is not mine,Victim of identity theft.Theft purpatraitor destroyed my credit running up a bunch of bogus accounts .reported to credirmt reporting agency and have a difficult time getting items removed that do not belong to me.they also have wrong names there is a XXXX XXXX XXXX And a XXXX XXXX And XXXX XXXX XXXX of these are mine name.XXXX XXXX no middle name or intial.please remove from my account. Thank u,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CA,925XX,,Consent provided,Web,2016-05-28,Closed with non-monetary relief,Yes,1946254
634,35170,2014-09-10,Credit reporting,,Credit monitoring or identity protection,Account terms and changes,,,"Collection Management Services, Inc.",WA,98029,,,Referral,2014-10-07,Closed,Yes,1023093
635,4222,2016-03-22,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,CA,95747,,,Postal mail,2016-03-23,Closed with explanation,Yes,1843785
636,113010,2016-04-16,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,VA,22191,,Consent not provided,Web,2016-04-16,Closed with explanation,Yes,1883220
637,77648,2015-05-07,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,OK,74136,,Consent not provided,Web,2015-05-07,Closed with explanation,Yes,1366140
638,76684,2013-05-01,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,WA,98671,,,Web,2013-05-01,Closed with non-monetary relief,Yes,396385
639,37494,2015-05-16,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MO,63017,,Consent not provided,Web,2015-05-16,Closed with explanation,Yes,1379299
640,58447,2014-12-11,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,FL,33462,,,Web,2014-12-15,Closed with explanation,Yes,1151984
641,2459,2015-12-20,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,Experian,AL,35951,,Consent not provided,Web,2016-01-07,Closed with non-monetary relief,Yes,1709795
642,19694,2015-05-21,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,Experian,CA,90740,,,Postal mail,2015-05-27,Closed with explanation,Yes,1386381
643,84059,2013-03-08,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,CA,94553,,,Web,2013-03-08,Closed with non-monetary relief,Yes,347504
644,84127,2016-02-23,Credit reporting,,Incorrect information on credit report,Public record,"XXXX County Court for an account that I knew nothing about. Whilst investigating this information I approached XXXX County Courts file room using the case number reported in my report, it was established that there is no record of this case number or any account in my name warranting this inclusion in my credit file. I am requesting that Trans Union make right the problem and delete this entry from my credit history and furnish me with an updated copy of my credit report showing the deletion of this entry. 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",FL,333XX,Older American,Consent provided,Web,2016-02-23,Closed with explanation,Yes,1801353
645,61806,2015-02-12,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,KY,42104,,,Referral,2015-02-27,Closed with explanation,Yes,1238287
646,28177,2016-05-10,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",PA,19149,,Consent not provided,Web,2016-05-10,Closed with explanation,Yes,1918181
647,114699,2013-04-19,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,CA,90255,Servicemember,,Web,2013-04-19,Closed with explanation,Yes,385729
648,27197,2016-02-02,Credit reporting,,Incorrect information on credit report,Account status,"ERRONEOUS INFORMATION ON MY CREDIT REPORT, SCORING INNACURATE INFORMATION, EXPERIAN HAS N'T UPDATED STAUS CURRENT OF MY CREDIT TRADE LINES ALL IN GOOD STATUS. 
",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,CA,933XX,,Consent provided,Web,2016-02-02,Closed with explanation,Yes,1768434
649,5904,2015-08-12,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,DC,20001,,Consent not provided,Web,2015-08-12,Closed with explanation,Yes,1514443
